2025-06-10 13:35:46,704 | DEBUG | geocode | 🧪 Geocoder initialized; cache_enabled=True, manual_fixes=False, historical_lookup=False
2025-06-10 13:35:46,707 | DEBUG | geocode | 🧪 Geocoder initialized; cache_enabled=True, manual_fixes=False, historical_lookup=False
2025-06-10 13:36:39,842 | DEBUG | geocode | 🧪 Geocoder initialized; cache_enabled=True, manual_fixes=False, historical_lookup=False
2025-06-10 13:36:39,844 | DEBUG | geocode | 🧪 Geocoder initialized; cache_enabled=True, manual_fixes=False, historical_lookup=False
2025-06-10 13:38:32,950 | DEBUG | geocode | 🧪 Geocoder initialized; cache_enabled=True, manual_fixes=False, historical_lookup=False
2025-06-10 13:38:32,952 | DEBUG | geocode | 🧪 Geocoder initialized; cache_enabled=True, manual_fixes=False, historical_lookup=False
2025-06-10 13:38:49,995 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:50,012 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:38:50,012 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:50,016 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:50,026 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:38:50,026 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:50,030 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:38:50,030 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:50,060 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:38:50,061 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:50,071 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:38:50,071 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:51,177 | WARNING | geocode | ❌ Geocode MISS 'Beat 5, Choctaw, Mississippi, USA': Geocoder returned None
2025-06-10 13:38:51,180 | WARNING | geocode | ❌ Final Geocode MISS 'Beat 5, Choctaw, Mississippi, USA'
2025-06-10 13:38:52,715 | WARNING | geocode | ❌ Geocode MISS 'beat_5_choctaw_mississippi_usa': Geocoder returned None
2025-06-10 13:38:52,718 | WARNING | geocode | ❌ Final Geocode MISS 'beat_5_choctaw_mississippi_usa'
2025-06-10 13:38:52,722 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:38:52,723 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:52,733 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:55,032 | WARNING | geocode | ❌ Geocode MISS 'Beat 4, Tallahatchie, Mississippi, USA': Geocoder returned None
2025-06-10 13:38:55,038 | WARNING | geocode | ❌ Final Geocode MISS 'Beat 4, Tallahatchie, Mississippi, USA'
2025-06-10 13:38:56,200 | WARNING | geocode | ❌ Geocode MISS 'beat_4_tallahatchie_mississippi_usa': Geocoder returned None
2025-06-10 13:38:56,204 | WARNING | geocode | ❌ Final Geocode MISS 'beat_4_tallahatchie_mississippi_usa'
2025-06-10 13:38:57,182 | WARNING | geocode | ❌ Geocode MISS 'Beat 2, Beat 2, Sunflower, Mississippi, USA': Geocoder returned None
2025-06-10 13:38:57,187 | WARNING | geocode | ❌ Final Geocode MISS 'Beat 2, Beat 2, Sunflower, Mississippi, USA'
2025-06-10 13:38:58,845 | WARNING | geocode | ❌ Geocode MISS 'beat_2_beat_2_sunflower_mississippi_usa': Geocoder returned None
2025-06-10 13:38:58,853 | WARNING | geocode | ❌ Final Geocode MISS 'beat_2_beat_2_sunflower_mississippi_usa'
2025-06-10 13:38:58,869 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:38:58,870 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:38:59,788 | WARNING | geocode | ❌ Geocode MISS 'Beat 4, Leflore, Mississippi, USA': Geocoder returned None
2025-06-10 13:38:59,792 | WARNING | geocode | ❌ Final Geocode MISS 'Beat 4, Leflore, Mississippi, USA'
2025-06-10 13:39:01,425 | WARNING | geocode | ❌ Geocode MISS 'beat_4_leflore_mississippi_usa': Geocoder returned None
2025-06-10 13:39:01,432 | WARNING | geocode | ❌ Final Geocode MISS 'beat_4_leflore_mississippi_usa'
2025-06-10 13:39:01,445 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:01,471 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:01,473 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:01,482 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:01,483 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:01,494 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:01,516 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:01,517 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:01,527 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:01,528 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:02,285 | WARNING | geocode | ❌ Geocode MISS 'boliver_mississippi_usa': Geocoder returned None
2025-06-10 13:39:02,289 | WARNING | geocode | ❌ Final Geocode MISS 'boliver_mississippi_usa'
2025-06-10 13:39:02,309 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:02,317 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:02,318 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:02,327 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:02,328 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:02,352 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:02,354 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:02,362 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:02,364 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,191 | WARNING | geocode | ❌ Geocode MISS 'phoebe_mississippi_usa': Geocoder returned None
2025-06-10 13:39:04,197 | WARNING | geocode | ❌ Final Geocode MISS 'phoebe_mississippi_usa'
2025-06-10 13:39:04,222 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,223 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,229 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,230 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,238 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,240 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,251 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,274 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,276 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,285 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,287 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,298 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,326 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,334 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,335 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,346 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,377 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,378 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,407 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,425 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,431 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,432 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,442 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,461 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,462 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,471 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,488 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,489 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,497 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,498 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,516 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,517 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,525 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,525 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,531 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,532 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:04,540 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,541 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,559 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,560 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:04,566 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:04,567 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:06,928 | WARNING | geocode | ❌ Geocode MISS 'Police District 1, Harrison, Mississippi, USA': Geocoder returned None
2025-06-10 13:39:06,934 | WARNING | geocode | ❌ Final Geocode MISS 'Police District 1, Harrison, Mississippi, USA'
2025-06-10 13:39:08,283 | WARNING | geocode | ❌ Geocode MISS 'police_district_1_harrison_mississippi_usa': Geocoder returned None
2025-06-10 13:39:08,289 | WARNING | geocode | ❌ Final Geocode MISS 'police_district_1_harrison_mississippi_usa'
2025-06-10 13:39:08,299 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:08,318 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:08,319 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:08,331 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:11,372 | WARNING | geocode | ❌ Geocode MISS 'Township 16 Range 10, New Prospect, Winston, Mississippi, USA': Geocoder returned None
2025-06-10 13:39:11,378 | WARNING | geocode | ❌ Final Geocode MISS 'Township 16 Range 10, New Prospect, Winston, Mississippi, USA'
2025-06-10 13:39:13,716 | WARNING | geocode | ❌ Geocode MISS 'township_16_range_10_new_prospect_winston_mississippi_usa': Geocoder returned None
2025-06-10 13:39:13,725 | WARNING | geocode | ❌ Final Geocode MISS 'township_16_range_10_new_prospect_winston_mississippi_usa'
2025-06-10 13:39:13,738 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:13,760 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,761 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,773 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:13,797 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,798 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,810 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:13,833 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,834 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,846 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:13,871 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,873 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:13,885 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:13,886 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:16,789 | WARNING | geocode | ❌ Geocode MISS 'District 10, La Grange, Fayette, Tennessee, USA': Geocoder returned None
2025-06-10 13:39:16,799 | WARNING | geocode | ❌ Final Geocode MISS 'District 10, La Grange, Fayette, Tennessee, USA'
2025-06-10 13:39:18,724 | WARNING | geocode | ❌ Geocode MISS 'district_10_la_grange_fayette_tennessee_usa': Geocoder returned None
2025-06-10 13:39:18,733 | WARNING | geocode | ❌ Final Geocode MISS 'district_10_la_grange_fayette_tennessee_usa'
2025-06-10 13:39:18,744 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:20,155 | WARNING | geocode | ❌ Geocode MISS 'District 12, Fayette, Tennessee, USA': Geocoder returned None
2025-06-10 13:39:20,164 | WARNING | geocode | ❌ Final Geocode MISS 'District 12, Fayette, Tennessee, USA'
2025-06-10 13:39:21,807 | WARNING | geocode | ❌ Geocode MISS 'district_12_fayette_tennessee_usa': Geocoder returned None
2025-06-10 13:39:21,814 | WARNING | geocode | ❌ Final Geocode MISS 'district_12_fayette_tennessee_usa'
2025-06-10 13:39:21,826 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:21,860 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,861 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,870 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:21,872 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:21,893 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,894 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,905 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:21,928 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,929 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,939 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:21,940 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:21,967 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,968 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:21,981 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:21,983 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,013 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,015 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,029 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,030 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,052 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,054 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,064 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,065 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,087 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,088 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,097 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,098 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,120 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,122 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,131 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,132 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,142 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,144 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,168 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,168 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,179 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,181 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,209 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,212 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,229 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,231 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,274 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,275 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,290 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,293 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,329 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,332 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,359 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,397 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,400 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,417 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,452 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,455 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,471 | INFO | geocode | 🟦 Cache hit (cache-legacy)
